Id,Title,Description,Author,Platform,Url,Genre,ContentHashTag,View,Rating,BookMarkCount,LikeCount,Type,IsEnd,ImgUrl
89,아포칼립스라서 계속 강해짐,갈겔골 - 내가 처음으로 주먹질을 시작한 건 유치원 때다. 짜증 나게 구는 돼지 녀석이 있길래 주먹을 날려 주었다. 그게 시작이었고 결국 비공식적인 인류 최강자가 될 수 있었다. 더는 상대할 녀석이 없었다. 그런 지루한 현실 앞에 서울이 피막으로 갇혔다고? 거기에 좀비도 나타나?,갈겔골,문피아,https://novel.munpia.com/425728,"현대판타지, 퓨전","#좀비#생존#아포칼립스#먼치킨",5646.0,0.0,59,92,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0715/03/EYPvzDEfUAA
90,절세 미소녀 마법사 엘프는 이혼하고 싶어,"이케작스 - 140살의 절세 미녀(자칭) 마법사 엘프는 무료한 결혼생활에 지쳤다. 천살이 넘은 엘프 남편과는 이제 이혼하고 싶어. 몸 좋은 기사든, 매력적인 마법사든, 하다못해 용이라도 좋으니 나를 데려가줘.",이케작스,문피아,https://novel.munpia.com/422458,"판타지, 로맨스","#판타지#마법#마법사#라이트노벨#로맨스판타지#서양판타지",1814.0,0.0,8,91,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0713/18/EYIlSMTYYAA
91,무인행,"<폐왕성>의 김재명, <무인 이랑> 한이랑 이전에 무인 정성진이 있었다!더욱 새롭게 돌아온 소년행 무예 소설의 초석 <무인행>봄의 끝 무렵, 새로운 절도사가 부임한다는 소문이 돌기 시작했다.“항상 똑같은 사람이 오는 모양이야. 이번에도 그렇지?”“그래, 똑같은 놈들이지 뭐. 하나같이 말이야.”동북 국경을 지키는 절도사로 부임한 정성진.그에게는 말로는 설명하기 힘든 무(武)의 기운이 느껴졌다.무인 정성진, 여진족을 물리치고 조선을 호령하라!",소년행,카카오페이지,https://page.kakao.com/content/60100687,드라마,없음,473100.0,9.4,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=BZ5fe/hzHNxNMr9e/Yd9zQTbiXMudkjNkEbred1&filename=o1/dims/resize/384
92,대장군 한예검,"징병 되어 강제로 전장의 한복판으로 내던져진 열일곱 살의 소년.갑옷의 쇳조각이 떨어져 나가고, 핏물이 고인 바닥에 군화가 질퍽이는 끔찍한 전장.사내들의 땀 냄새와 역한 피비린내 속에서, 살아남으려는 의지 하나로 처절한 전투를 이어 나간다.소년은 과연 거듭되는 외침과 반란으로 무너질 위기에 놓인 우나라를 구하고 부모의 원수까지 갚을 수 있을까.그리고 사랑하는 소녀와 행복해질 수 있을까.",신나는작가,카카오페이지,https://page.kakao.com/content/63522191,드라마,"#시대물#판타지드라마#역사",134400.0,9.8,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=TJPJQ/hAd4W9DgNz/e9fqKkUOkjE68HlWMk2SV0&filename=o1/dims/resize/384
93,선인지로,"<폐왕성>,<무인 이랑>, <무인행>에 이은소년행 작가님의 신작 <선인지로> 연재 시작!어려서부터 공부하여 열다섯에 무예의 극의를 깨우친 '달천'.스승으로부터 하산하여 세상에 나가다!“노니 뭐 하겠는가. 차라리 학당을 하나 차리면 어떻겠는가?”“학당이요?”“서당에서 동네 아이들 모아 놓고 천자문 가르치듯이 말일세.”소년 달천은 세상을 배우며 익혀나가고,동시에 선인이 가는 길, 선인이 사는 방법을 가르친다!선인 달천, 후인을 양성하여 조선의 환란에 대비하라!",소년행,카카오페이지,https://page.kakao.com/content/63377273,드라마,"#시대물#판타지드라마#역사#휴머니즘",92200.0,9.9,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=cjMSU/hAd4qCYSg7/pbu2YgoKUaq7JxgQ1mEU90&filename=o1/dims/resize/384
94,"주술사건 해결사, 갈색 눈의 조사관","거의 모든 사람이 주술을 사용하며, 생활 깊은 곳에도 주술이 들어간 도구를 사용하는 요즘.주력이 없어 주술을 사용하지도 못하고, 귀신과 요괴를 볼 수도 없는 특이한, 전 세계 0.1%에 해당하는 특별한 눈을 가진 【이 혜윰】주술, 귀신, 요괴.즉, 영적인 현상에 의해 벌어지는 사건을 전담하는 직업 현상사.그녀는 대한민국 최고의 현상사의 조사관이다.“이번 주는 어떤 건인가요? 지난번처럼 경찰이 충분히 해결할 수 있는 일이면 받지 않겠습니다.”",권연,카카오페이지,https://page.kakao.com/content/64314826,드라마,"#판타지드라마#오컬트",3400.0,9.9,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=cHfl89/hAFsCJ3U2X/htjGUDKP04fnZkt83tFGIk&filename=o1/dims/resize/384
95,투 아이즈,아버지를 죽인 사람을 찾기 위해 경찰이 된 한진일과 불의를 보면 참지 못하는 지역 치안센터 출신의 말단 순경 박해진이 사건을 수사하면서 벌어지는 이야기.,이유빈,카카오페이지,https://page.kakao.com/content/58090099,드라마,없음,2900.0,10.0,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=Zcmsc/hzacfsnwlI/TX1ry1K5zDDsdKezmPmJNk&filename=o1/dims/resize/384
96,식물 프로파일러 유익희,"“자살이 아닙니다 저 사람, 살해당한 겁니다.”피해자의 신발에서 발견한 ‘식물 증거’로 사건의 진실을 밝혀낸 익희.그 덕분에 경원 경찰청장으로부터 식물 프로파일러 자리를 제안받는데.“범인은 형사가 잡는다. 식물 박사 따위가 아니라!”식물이 범죄 수사에 도움이 될 리 없다고 생각하는 화선 경찰서 형사팀.그러거나 말거나 사건 현장에서 발견된 식물의 증언을 분석해야 하는 익희는사사건건 형사들과 현장에서 부딪히게 된다.과연, 익희는 대한민국 최초 식물 프로파일러로서 인정받을 수 있을까?팩트스토리, 엠스토리허브, 지앤지프로덕션이 공동 주최한MGF 메가Fun 제1회 범죄미스터리 공모전 수상작[식물 프로파일러 유익희]",임사린,카카오페이지,https://page.kakao.com/content/64389712,드라마,"#형사#경찰#추리물#직업물#추미스",44300.0,9.6,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=bg7VZg/hAFsArTLxM/MVHLZlSKYsBiNR6ttAn5uk&filename=o1/dims/resize/384
97,레스트레이드 경감이 되었다,"과거로 돌아갈 수 있다면, 무엇을 할까?로또? 주식? 비트코인?그딴 거 다 필요 없다.‘그날’만 없던 일로 만들 수 있다면.부모님을 살릴 수만 있다면.그것이 정말로 가능하다면 뭐든지 할 텐데……!그리고 그런 기적 같은 기회가 찾아왔다.[지금부터 사건이 시작된다는 소리야.]",팔숨,카카오페이지,https://page.kakao.com/content/63865634,드라마,"#경찰#형사#추리물#판타지드라마#추미스",50300.0,9.5,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=bwVVrb/hAd4nzFRjD/I9VUzHIVVD1G9WVHq4bU61&filename=o1/dims/resize/384
98,사내 복지는 악령 퇴치부터 시작합니다,"호랑이띠 신입 사원 X 토끼띠 도련님 과장귀신 때려잡는 통쾌한 오피스 액션 퇴마물!""이상한 일을 겪고 있는 사원들을 찾아서최대한 해결해 주시면 좋겠습니다.""도깨비터에 지어져 대기업이 된 ‘독갑물산’. 그러나 그 터를 지키는 도깨비가 사라져 귀신들이 활개를 친다.기가 센 호랑이띠 여자 사원만족센터(1인) 신입 사원 '강해영'과기가 약한 토끼띠 남자 과장이자 회장의 손자인 '고정석'두 사람은 사원들한테 해를 끼치는 귀신들을 쫓아내면서 직장인들의 각종 고충을 덜어 주고 회사를 안전하게 지켜 낸다.그러나 이 모든 사건은 우연이 아니라악귀를 이용해 회사를 차지하려는 어느 적대 세력과 관련이 있었는데…….회사 밥이 맛있어서 출근하고 월급을 받을 생각에 견디는 평범한 회사원의좌충우돌 퇴마 업무가 시작된다!""사내 악령도 사원의 고민도 한 방에 해결해 드립니다!""",최영원,카카오페이지,https://page.kakao.com/content/60025652,드라마,없음,21000.0,10.0,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=emVgxB/hzHNBCIjOX/D3RtPjuB7AbRxPuiEHBzUK&filename=o1/dims/resize/384
99,건어물 가시[단행본],"	제주도로 억울하게 좌천된 유명 아나운서 경인.우연한 사고로 인해 라디오 청취자의 내일을 볼 수 있는 능력을 얻게 된다.그리던 어느 날,""신청곡 틀어드릴게요. 어떤 노래 듣고 싶어요?""""군가도 되나?""연쇄 살인범과 연결이 되는데...","9이닝 ",카카오페이지,https://page.kakao.com/content/64780196,드라마,"#추리물#추미스",4.0,0.0,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=bxrS5P/hAFPS6vlcl/2yF2mktJxI4W7f7MqCWk21&filename=o1/dims/resize/384
100,존재하지 않는 실화,"22살 경찰대생 한천민에게는 특별한 능력이 있었으니,바로 금속을 자유자재로 다룰 수 있는 금속 능력!천민의 능력을 알아본 동진경찰서 6수과 4팀에서 그를 채용한다.  그를 반갑게 맞이한 팀원들 또한 그와 같은 특별한 능력자였다.팀을 이끄는 팀장이자 박수무당인 서해준.이곳저곳 자유롭게 드나드는 통과 능력자, 진성현.죽은 자의 과거를 들여다 볼 수 있는 꿈 능력자, 유가람.그들과 함께 세상에 존재하면 안 되는 사건들을 파헤치기 시작한다.사람의 간을 빼먹는 불여우,조직폭력배와 손을 잡은 두억시니,연쇄살인을 하고 다니는 아기 귀신,마을을 쑥대밭으로 만든 무덤귀 등등!과연 그들은 사건을 무사히 해결할 수 있을까?------------------------------------------------------------------------필명 '비묘' 로 호러 미스터리 분야에서 활동하고 있다. 지금까지 <한국 공포소설 특선집> 中 '집착' 과  <아이작가 공포소설 단편 수상작 특집> 中 '아내' 그리고 <뿌딩 공포 단편소설 공모전 수상작 특집> 中 '에반 박스터 이야기' 등의 작품을 출간하였다.",비묘,카카오페이지,https://page.kakao.com/content/50715819,드라마,없음,54100.0,10.0,0,0,NOVEL,NOT,https://page-images.kakaoentcdn.com/download/resource?kid=bj0gyU/hzb7s31Oqk/kPNFUHUWWYdfbnHRA9B8q1&filename=o1/dims/resize/384
